N,MAE,RMSE,R2,RMSE_log,R2_log
5,51269.381511334366,70334.66494182912,-0.9072669127919049,0.46174843033594787,-0.7409314026603688
10,24469.235807529894,34462.510850647086,0.5421044102857928,0.23570764217231777,0.5463529086521355
20,13484.814062015805,21955.725439779384,0.8141475839162602,0.12848606017027475,0.8652021925600908
40,5933.887818449806,9811.274563399103,0.9628872199601283,0.08744810938100764,0.9375587407941376
80,3432.3929205097597,8083.628094434275,0.9748066872473177,0.1293817388472678,0.8633162860822213
