N,MAE,RMSE,R2,RMSE_log,R2_log
5,74338.99928741365,96353.10244403315,0.49855169506472785,0.5872769461640094,0.3235367710013757
10,47768.49452748209,62417.747867289996,0.7895684031295427,0.3822520852740754,0.7134119909677255
20,33690.37373104903,49992.34453393482,0.8650099459762963,0.2663583163813094,0.8608475647822966
40,25182.44943903707,39048.170532421944,0.9176438294409239,0.16701184740655786,0.9452917467228044
80,19109.4800769008,26942.904078649757,0.9607911981162928,0.16633051385555603,0.945737206578234
