N,MAE,RMSE,R2,RMSE_log,R2_log
5,18569.392208489244,30161.913332045635,0.6154034674378043,0.12407877910802831,0.6381924359132878
10,15558.838834034728,25874.881610798693,0.7169622704642837,0.10636698227597569,0.7341134950477717
20,9877.365632737265,20268.331056215848,0.8263304945331768,0.08028942720442978,0.8485046376081873
40,6780.252942797882,14964.753728540882,0.9053268696294752,0.06375017140633556,0.9044907724332905
80,5513.551056686098,11465.994706192274,0.9444209572103762,0.04743879937943965,0.9471128703517944
