N,MAE,RMSE,R2,RMSE_log,R2_log
5,2255.8073832829778,4003.2056745175173,0.998874460924812,0.04695790391317764,0.9937445149240274
10,2253.2985538458115,3192.3804823560495,0.9992842290577787,0.03137438489063289,0.9972074945670768
20,2087.06615565809,3010.6652897266395,0.9993633954756377,0.03093455823085988,0.9972852401137701
40,1990.4730311365781,2769.492289939511,0.9994613023381163,0.028088991091408527,0.9977617125100161
80,1487.9507069541462,2348.1153194060553,0.9996127569664716,0.02496157523423874,0.9982323854657129
