N,MAE,RMSE,R2,RMSE_log,R2_log
5,15657.76799298788,25850.52759900265,0.12919870191801452,0.1578985853663245,0.2439004032343911
10,8260.327588144979,14514.804527396951,0.7254618971806484,0.08608207631422321,0.7752767559502483
20,4474.489805632779,8081.328308784742,0.9148968282406795,0.04869473745805542,0.9280904476042329
40,2025.4044881236412,3360.7658423374596,0.9852817303852329,0.022399044947833693,0.9847846645824019
80,959.2278286741232,1515.4545891798289,0.997007279906429,0.00999533779193048,0.996970175455153
