N,MAE,RMSE,R2,RMSE_log,R2_log
5,73445.0032447621,89843.93306450942,0.19519389917897356,0.656198819663217,0.20223823191804946
10,69332.70147642368,88694.4083462222,0.2156566284749153,0.6738409193782394,0.1587654713642429
20,46758.02597553739,60790.78471552684,0.6315409333567881,0.4443559938667957,0.6341825525902467
40,36192.20082636137,47432.36626449003,0.7756824099686823,0.27735035047644946,0.8574852656366521
80,43842.389647742,64714.02367623621,0.5824480121403702,0.3745811198947342,0.7400474409577975
