N,MAE,RMSE,R2,RMSE_log,R2_log
5,49995.779854812135,76038.05453608524,0.5167576476011813,0.32859635797889497,0.7259664318071446
10,32017.125521681875,46696.22288514328,0.8177504340051528,0.2600858629267253,0.8283231375066693
20,23390.8831071477,34333.735899365834,0.9014753001198746,0.1985199560359996,0.8999800541228041
40,15898.777100279478,27758.78935141701,0.9355973053666296,0.16424749375141737,0.9315338704841543
80,14159.805174270543,24318.08959690909,0.9505732670814628,0.13991380580642795,0.9503179606382481
