N,MAE,RMSE,R2,RMSE_log,R2_log
5,1036.5518811738334,1269.5818944096643,0.9992595825738924,0.0068859391396662575,0.9989345427836572
10,246.3981422907044,302.5305740172966,0.999957956996514,0.0015945776208416633,0.9999428651640561
20,277.36123605840197,360.07849463880297,0.9999404407034665,0.0019726670422370303,0.9999125585737153
40,183.11411562208727,256.3266817974544,0.9999698183608764,0.001436808490164082,0.9999536118100834
80,139.31998002461623,190.8666348790413,0.9999832654043087,0.0010649235401543338,0.9999745172373131
