N,MAE,RMSE,R2,RMSE_log,R2_log
5,38831.85377499522,50527.08561740461,0.6897382679928417,0.2837803623734185,0.8270831446821253
10,24811.28576490513,38663.92787365763,0.8183264684743109,0.25870886098887363,0.856287263605066
20,23234.612260820457,34626.16008862567,0.8542903282929902,0.23215766599831061,0.8842719304431804
40,21309.861200432726,29721.693721526586,0.8926438759330205,0.21751527538980286,0.8984097161381609
80,20009.830353258483,29010.069580122545,0.8977231708193533,0.20633919336629183,0.9085810754818442
