N,MAE,RMSE,R2,RMSE_log,R2_log
5,110473.6688223352,178566.6102150553,0.3325426068097529,0.8181210059249949,0.23776722526821004
10,75831.22672074681,104904.0377757669,0.7696397992032815,0.44708246853537115,0.7723708839935005
20,54636.72574315414,89894.49585685864,0.8308432854101636,0.49379100456216124,0.722323657919556
40,39342.3284614213,66654.47759002344,0.9070002679770561,0.3367598316054374,0.870850390075477
80,30645.951984313597,56776.13689168976,0.9325231628094874,0.32277875891138924,0.881351452423962
