N,MAE,RMSE,R2,RMSE_log,R2_log
5,24034.246460780225,30798.0411839877,0.5132491405114334,0.15914543016189192,0.45158075133153175
10,15606.818184065314,21983.88576064802,0.7519898509167824,0.1176029934285685,0.7005246389816194
20,9809.132426559345,15309.585485382358,0.87972166695957,0.08032392181101747,0.8602942908909452
40,10788.766849012698,18343.46953545766,0.8273273708042408,0.09479518404014342,0.805420585284896
80,5724.529586210398,10829.949677661012,0.9398115147670987,0.0527464505305818,0.9397564127310805
