N,MAE,RMSE,R2,RMSE_log,R2_log
5,14551.720623976691,19271.266569743795,0.5297167068676776,0.10512095320541232,0.466612948323882
10,7616.838936787308,12655.57992453097,0.7971835695990391,0.0671750783142663,0.782188778311921
20,8455.083245274463,13695.51520174874,0.76248240801226,0.07415788083198058,0.7345525794047639
40,7083.732951926114,12709.01724511954,0.795467196589966,0.0675548863154981,0.7797188053825801
80,6364.610061434326,11864.558895638706,0.8217447925151582,0.06214159286998735,0.8136074067210911
