N,MAE,RMSE,R2,RMSE_log,R2_log
5,66696.39379244782,88651.70955192136,0.3989025145226075,0.4102980234503454,0.5141441576781185
10,38008.51704014536,52890.35927558748,0.786044371627239,0.2513205755266595,0.8177092335608249
20,32339.95468199744,50195.2312330804,0.8072938389296447,0.211749568334796,0.8705942282666337
40,21616.590432098037,35972.127995464005,0.9010301432914236,0.1369956302416503,0.9458345932142068
80,13902.385183043918,27664.84643564191,0.941463438345812,0.10779279013307527,0.9664657956384276
